State,LGAName,StateCode,sLGACode,LGACodetxt,LGACode
Katsina,Dutsin Ma,21,12,2112,2112
Katsina,Faskari,21,13,2113,2113
Katsina,Funtua,21,14,2114,2114
Katsina,Ingawa,21,15,2115,2115
Katsina,Jibia,21,16,2116,2116
Katsina,Kafur,21,17,2117,2117
Katsina,kaita,21,18,2118,2118
Katsina,Kankara,21,19,2119,2119
Katsina,Kankia,21,20,2120,2120
Katsina,Katsina,21,21,2121,2121
Katsina,Kurfi,21,22,2122,2122
Katsina,Kusada,21,23,2123,2123
Katsina,Mai'Adua,21,24,2124,2124
Katsina,Malumfashi,21,25,2125,2125
Katsina,Mani,21,26,2126,2126
Katsina,Mashi,21,27,2127,2127
Katsina,Matazu,21,28,2128,2128
Katsina,Musawa,21,29,2129,2129
Katsina,Rimi,21,30,2130,2130
Katsina,Sabuwa,21,31,2131,2131
Katsina,Safana,21,32,2132,2132
Katsina,Sandamu,21,33,2133,2133
Katsina,Zango,21,34,2134,2134
Kebbi,Aleiro,22,1,2201,2201
Kebbi,Arewa Dandi,22,2,2202,2202
Kebbi,Argungu,22,3,2203,2203
Kebbi,Augie,22,4,2204,2204
Kebbi,Bagudo,22,5,2205,2205
Kebbi,Birnin Kebbi,22,6,2206,2206
Kebbi,Bunza,22,7,2207,2207
Kebbi,Dandi,22,8,2208,2208
Kebbi,Fakai,22,9,2209,2209
Kebbi,Gwandu,22,10,2210,2210
Kebbi,Jega,22,11,2211,2211
Kebbi,Kalgo,22,12,2212,2212
Kebbi,Koko/Besse,22,13,2213,2213
Kebbi,Maiyama,22,14,2214,2214
Kebbi,Ngaski,22,15,2215,2215
Kebbi,Sakaba,22,16,2216,2216
Kebbi,Shanga,22,17,2217,2217
Kebbi,Suru,22,18,2218,2218
Kebbi,Wasagu/Danko,22,19,2219,2219
Kebbi,Yauri,22,20,2220,2220
Kebbi,Zuru,22,21,2221,2221
Kogi,Adavi,23,1,2301,2301
Kogi,Ajaokuta,23,2,2302,2302
Kogi,Ankpa,23,3,2303,2303
Kogi,Bassa,23,4,2304,2304
Kogi,Dekina,23,5,2305,2305
Kogi,Ibaji,23,6,2306,2306
Kogi,Idah,23,7,2307,2307
Kogi,Igalamela-Odolu,23,8,2308,2308
Kogi,Ijumu,23,9,2309,2309
Kogi,Kabba/Bunu,23,10,2310,2310
Kogi,Kogi,23,11,2311,2311
Kogi,Lokoja,23,12,2312,2312
Kogi,Mopa-Muro,23,13,2313,2313
Kogi,Ofu,23,14,2314,2314
Kogi,Ogori/Magongo,23,15,2315,2315
Kogi,Okehi,23,16,2316,2316
Kogi,Okene,23,17,2317,2317
Kogi,Olamaboro,23,18,2318,2318
Kogi,Omala,23,19,2319,2319
Kogi,Yagba East,23,20,2320,2320
Kogi,Yagba West,23,21,2321,2321
Kwara,Asa,24,1,2401,2401
Kwara,Baruten,24,2,2402,2402
Kwara,Edu,24,3,2403,2403
Kwara,Ekiti,24,4,2404,2404
Kwara,Ifelodun,24,5,2405,2405
Kwara,Ilorin East,24,6,2406,2406
Kwara,Ilorin South,24,7,2407,2407
Kwara,Ilorin West,24,8,2408,2408
Kwara,Irepodun,24,9,2409,2409
Kwara,Isin,24,10,2410,2410
Kwara,Kaiama,24,11,2411,2411
Kwara,Moro,24,12,2412,2412
Kwara,Offa,24,13,2413,2413
Kwara,Oke Ero,24,14,2414,2414
Kwara,Oyun,24,15,2415,2415
Kwara,Pategi,24,16,2416,2416
Lagos,Agege,25,1,2501,2501
Lagos,Ajeromi/Ifelodun,25,2,2502,2502
Lagos,Alimosho,25,3,2503,2503
Lagos,Amuwo Odofin,25,4,2504,2504
Lagos,Apapa,25,5,2505,2505
Lagos,Badagry,25,6,2506,2506
Lagos,Epe,25,7,2507,2507
Lagos,Eti Osa,25,8,2508,2508
Lagos,Ibeju Lekki,25,9,2509,2509
